ID,Smiles
534,OC1=CC2=C(C=C1OC)CCN(C)[C@@H]2CC3=CC=C(O)C(OC4=CC=C(C[C@H]5N(C)CCC6=C5C=C(OC)C(OC)=C6)C=C4)=C3
535,CC1(C)[C@@H](O)CC[C@]([C@@]1([H])CC[C@@]([C@@]2(CC[C@]3(CC[C@](C(O)=O)(C[C@]3(C2=C4)[H])C)C)C)5C)(C)[C@@]5([H])C4=O
536,O=C1N(C(CCCC)=NC(C)=C1CC(N(C)C)=S)CC2=CC=C(C3=C(C4=NN=NN4)C=CC=C3)C=C2
537,[O-]C(/C(CC/C=C(C)\C)=C1[C@@H](OC(C)=O)C[C@]2(C)[C@@]3(C)CC[C@@]4([H])[C@H](C)[C@H](O)CC[C@]4(C)[C@]3([H])[C@H](O)C[C@@]\12[H])=O.[Na+]
538,O=C([C@H]1NC[C@@H](SC2=C(C(O)=O)N3[C@]([C@]([C@@H](C)O)([H])C3=O)([H])[C@H]2C)C1)NC4=CC=CC(C([O-])=O)=C4.[Na+]
539,[H][C@]12C(NC3=C4C=CC=C3)=C4CCN1C[C@@]5(CC[C@H](O)[C@H](C(OC)=O)[C@]5(C2)[H])[H].[H]Cl
540,O=C(C(C=C1C2=O)=CC(O)=C1C(C3=C2C=CC=C3O)=O)O
541,C1(CC2=CNC3=C2C=CC=C3)=CNC4=C1C=CC=C4
542,O=C(N1C)N(C)C2=C(N(CC(O)C)C=N2)C1=O
543,CC(C1CC=C(/C=N/O)CC1)=C
544,O=C1C=C(CO)OC2=CC(O[C@H](C(C)(O)C)C3)=C3C(OC)=C12
545,O=C(OCCN(CC)CC)C1=CC=C(OCCC)C(N)=C1.[H]Cl
546,O=C1CCC[C@]2([H])[C@@]3([H])CCCN4[C@@]3([H])[C@](CCC4)([H])CN21
547,O=C1C=C(C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C13
548,O=C1N=C(N)NC2=NC=C([C@@H](O)[C@@H](O)C)N=C12
549,O=C(C(N12)=C(C)CS[C@]2([H])[C@H](NC(/C(C3=CSC(N)=N3)=N\OC)=O)C1=O)OCOC(C(C)(C)C)=O.[H]Cl
550,O=C(C1=C2C=CC3=C1CCCC3(C)C)C(C4=C2OC[C@@H]4C)=O
551,C[C@]12[C@@](C(C=C3[C@]2(CC[C@]4(C)[C@@]3([H])C[C@](C(O)=O)(C)CC4)C)=O)([H])[C@@]5([C@@](C(C)([C@@H](O[C@]6([H])[C@@H]([C@H]([C@H](O)[C@@H](C(O)=O)O6)O)O[C@]7([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)C(O)=O)CC5)C)([H])CC1)C
552,CC1[C@@]([C@](O)([C@H](OC([C@@H]2C)=O)CC)C)([H])O[C@H](COCCOC)N[C@@]1([H])[C@](C[C@@](O)([C@@H]([C@@H](C)[C@]2([H])O[C@@](O[C@@H](C)[C@@H]3O)([H])C[C@@]3(C)OC)O[C@@](O[C@H](C)C[C@@H]4N(C)C)([H])[C@@H]4O)C)([H])C
553,O=C1[C@H](O)[C@@H](C2=CC=C(O[C@H](CO)[C@@H](C3=CC=C(O)C(OC)=C3)O4)C4=C2)OC5=CC(O)=CC(O)=C15
554,C[C@@](OC)(C[C@H](C([C@@H]1C)=O)C)[C@@H]([C@H]([C@@H]([C@H](C(O[C@H](CC)[C@@](C)(O)[C@@H]1O)=O)C)O[C@@](O[C@@H](C)[C@@H]2O)([H])C[C@@]2(C)OC)C)O[C@@](O[C@H](C)C[C@@H]3N(C)C)([H])[C@@H]3O
555,NC1=C2C(N([C@H]3[C@H](O)[C@H](O)[C@@H](COP(OP([O-])(OC[C@@H]4[C@@H](O)[C@@H](O)[C@H](N5C=C(C(N)=O)CC=C5)O4)=O)([O-])=O)O3)C=N2)=NC=N1.[Na+].[Na+]
556,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O)C)(C[C@H](O)[C@@]2([H])C3(C)C)[C@]4([C@@]1([H])[C@]([C@](C)(O)CC/C=C(C)/C)([H])CC4)C
557,CO[C@@H]1C(C(N(CC)C2)C3C4)([C@@](C[C@@]5([H])[C@@H]6OC)([H])[C@@]6(O)[C@@]3(C[C@@H]5OC)O)[C@@]4([H])[C@@]2(OC(C(C=CC=C7)=C7NC(C)=O)=O)CC1.Br
558,O[C@@H]([C@@H](O)[C@H](O)[C@@H](O)C=O)CO[C@H]([C@@H]([C@@H](O)[C@H]1O)O)O[C@@H]1CO[C@H]([C@@H]([C@@H](O)[C@H]2O)O)O[C@@H]2CO
559,O[C@H]([C@@H](O)[C@@H]1O)[C@@H](O[C@@H]1CO)OC2=CC(/C=C/C(C=CC(O[C@@H]([C@@H]([C@@H](O)[C@@H]3O)O)O[C@@H]3CO)=C4)=C4O)=CC(O)=C2
560,C[C@]12[C@@]3([H])[C@@](C4)(CC[C@]1([H])[C@@](C)(CCC2)C(O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)CO)=O)C[C@@](C4=C)(O[C@@]6([H])[C@@H]([C@H]([C@H](O)[C@@H](CO)O6)O[C@]7([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)CO)O[C@]8([H])O[C@@H]([C@@H](O)[C@H](O)[C@H]8O)CO)CC3
561,C1=NC=CN1
562,O=C1C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]3[C@@H]([C@@H]([C@H]([C@H](C)O3)O)O)O)O2)O)O)O)=C(C4=CC=C(OCCO)C(OCCO)=C4)OC5=CC(OCCO)=CC(O)=C15
563,CC(C1(C[C@H](C2)C3)C[C@H]3C[C@H]2C1)N.Cl
564,O=C(O)CCCCC1SSCC1
565,O[C@@]([C@@H](C(CO)=C[C@@]1([H])[C@H](C2(C)C)[C@H]2C3)O)([C@H]4O)[C@]([C@@H]3C)(C=C4C)C1=O
566,FC(C1=NN=C2C=CC(C3=CC=C(OC(F)(F)F)C=C3)=CN21)(F)F
567,COC(C(C=C1NC(/C(C)=C/C=C/[C@H](OC)[C@@H](OC(N)=O)/C(C)=C/[C@H](C)[C@H]2O)=O)=O)=C(C[C@H](C[C@@H]2OC)C)C1=O
568,O[C@H]([C@@H](O)[C@@H]1O)[C@](O[C@@H]1CO)([H])O[C@H](OC=C2)[C@@]3([H])[C@]2([H])[C@H](O)C=C3CO
569,O=C[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O
570,O=C1CNC[C@@]2([H])N1CCC3=C2C=CC=C3
571,O=C1[C@](O)(CC)C2=C(CO1)C(N3CC4=C(CC)C5=CC(O)=CC=C5N=C4C3=C2)=O
572,O=C(O)CCCC[C@H]1SSCC1
573,O=C1C[C@@H](C(C)C)C(C/C(C)=C/CC[C@@H]1C)=O
574,O[C@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)[C@@H]1OC2=CC=C(O)C=C2
575,O=C1C(CC2CCC(C(C)(C)C)CC2)=C(O)C(C3=C1C=CC=C3)=O
576,O=C(N)NC(C(N1)=O)NC1=O
577,O=C(/C=C/C1=CC=C(C=C1)O)C2=CC=C(C(C/C=C(C)\C)=C2O)O
578,O=C(CC(CCC1=CC=C(O)C(OC)=C1)=O)CCC2=CC=C(O)C(OC)=C2
579,CC(CN(C)C)CN1C2=C(C=CC=C2)CCC3=C1C=CC=C3.O=C(O)/C=C\C(O)=O
580,O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@H]2C[C@]([C@@](C[C@H](O)[C@]3([H])[C@@]4(CC[C@H](C(C)(C)O)O4)C)(C)[C@]3(C)CC5)([H])[C@@]65[C@]7(C6)[C@]2([H])C(C)(C)[C@@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)CC7)[C@@H]1O
581,O[C@H]1[C@H](O)[C@@H](O)[C@]([H])(O[C@@H]2C(C)(C)[C@@]([C@@H](O[C@]3([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]4([H])[C@@]56CC[C@@]7(C)[C@@]4(C)C[C@H](O)[C@]7([H])[C@]8(C)O[C@H](C(C)(O)C)CC8)([H])[C@]5(C6)CC2)OC1
582,COC(C=C1[C@H]2[C@@](CO[C@@H]3C4=CC(OC)=C(O[C@@H]([C@@H]([C@@H](O)[C@@H]5O)O)O[C@@H]5CO)C(OC)=C4)([H])[C@]3([H])CO2)=C(C(OC)=C1)O[C@@H]([C@@H]([C@@H](O)[C@@H]6O)O)O[C@@H]6CO
583,C[C@@]([C@@]12C)(C[C@H](O[C@@](O[C@H](CO)[C@@H](O)[C@@H]3O)([H])[C@@H]3O[C@@](O[C@@H](C)[C@H](O)[C@H]4O)([H])[C@@H]4O)[C@@]5([H])C6(C)C)[C@@](C[C@@H](O)[C@]1([H])[C@]([C@]7(O[C@@H](C(C)(O)C)CC7)C)([H])CC2)([H])[C@]5(CC[C@@H]6O)C
584,O=C1C2=C(O)C=C3C(C=CC(C)(C)O3)=C2OC(C4=CC=C(O)C=C4O)=C1C/C=C(C)\C
585,CC(NCCCCCN)=O
586,CO[C@@H]1[C@@H](O[C@]2([H])O[C@@H](C)[C@H](O)[C@@H](OC)C2)[C@H](C)O[C@@]([H])(O[C@H](/C(C)=C/C[C@]3([H])C[C@]([H])(OC4=O)C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O3)[C@@H](C)/C=C/C=C7CO[C@@]8([H])[C@]\7(O)[C@@]4([H])C=C(C)[C@H]8O)C1
587,OC1=CC=C(/C=C/C(CC(/C=C/C2=CC=C(O)C=C2)=O)=O)C=C1
588,C[C@@]12[C@](C[C@H](C)[C@]2(OC(CC)=O)C(COC(CC)=O)=O)([H])[C@]3([H])CCC4=CC(C=C[C@]4(C)[C@@]3(F)[C@@H](O)C1)=O
589,O=C1OC[C@]2([H])[C@@H](O)C3=C(C=C4OCOC4=C3)[C@@H](C5=CC(OC)=C(OC)C(OC)=C5)[C@]21[H]
590,O=C(NC1=C2C=CC=C1)[C@@]32[C@@](C[C@H](/C(C(OC)=O)=C\OC)[C@H](CC)C4)([H])N4CC3
591,C[C@@]([C@@]12C)(CC[C@@]3([H])C4(C)C)[C@@](C[C@@H](O)[C@]1([H])[C@]([C@@](CC/C=C(C)/C)(C)O[C@@H]([C@@H]([C@@H](O)[C@@H]5O)O)O[C@@H]5CO)([H])CC2)([H])[C@]3(CC[C@@H]4O)C
592,O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](OC(C)([C@H]2OC3=C(C(OC)=C(C(C=C(C)O4)=O)C4=C3)C2)C)[C@@H]1O
593,O=C1O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)NC[C@H](C)C[C@@](C)(O)[C@H](O[C@@]2([H])[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@H](C)[C@H](O[C@@]3([H])C[C@@](C)(OC)[C@@](CNCCC)(O)[C@H](C)O3)[C@H]1C
594,OC1=C(I)C=C(OC2=C(I)C=C(C[C@H](N)C(O)=O)C=C2I)C=C1
595,O=C(NC1=C2C=CC=C1)[C@@]32[C@@](C[C@H](/C(C(OC)=O)=C\OC)[C@@H](CC)C4)([H])N4CC3
596,O[C@H]1[C@H](O)C(C)(C)[C@@](CC[C@]2(C)[C@]3([H])CC=C4[C@@]2(C)CC[C@]5(C(O)=O)[C@@]4([H])[C@@H](C)[C@H](C)CC5)([H])[C@]3(C)C1
597,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O)C)(C[C@H](O[C@@](O[C@H](CO)[C@@H](O)[C@@H]4O)([H])[C@@H]4O[C@@](OC[C@@H](O)[C@@H]5O)([H])[C@@H]5O)[C@@]2([H])C3(C)C)[C@]6([C@@]1([H])[C@]([C@@](CC/C=C(C)/C)(C)O[C@@H]([C@@H]([C@@H](O)[C@@H]7O)O)O[C@@H]7CO)([H])CC6)C
598,O=C(OCC)CC1=CC(O)=CC(O)=C1C(CCCCCCC)=O
599,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](NC(C)=O)[C@@H](O)CC(C(O)=O)=O
600,O=C1[C@](C=C2)(O)[C@@](CC3)(C)[C@@]([C@@](C[C@@H](C4=COC=C4)O5)(C)[C@]3([H])C5=O)([H])[C@]2([H])O1
601,OC1=C(C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3C1=O
602,O=C([C@H]1NC([C@@H](NC([C@@H](NC([C@](NC([C@H](CC2=CC=C(O)C=C2)NC([C@@H](N)CSSC1)=O)=O)([H])CC3=CC=CC=C3)=O)CCC(N)=O)=O)CC(N)=O)=O)N4[C@@H](CCC4)C(N[C@@H](CCCCN)C(NCC(N)=O)=O)=O
603,O=C1[C@H](O)[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C13
604,O=C(O)[C@H]1N(C(C)=O)C[C@H](O)C1
605,O=C(O)C1=C(CCCCCCC/C=C\CCCCCC)C=CC=C1O
606,C[C@]([C@@H](C(C=C1)=COC1=O)[C@H]2OC(C)=O)(CC[C@@]3([H])[C@@]4([H])CC[C@@]5([H])[C@@]3(CC[C@H](O)C5)C)[C@@]64[C@@H]2O6
607,O=C([C@@]1([C@H]2O1)C(C)C)[C@]34O[C@H]3C[C@@]([H])(C5=C(CC6)C(OC5)=O)[C@@]6(C)[C@]47[C@H]2O7
608,C[C@@]1(CC[C@@H]2O)[C@](C[C@H]3O)([H])[C@](C[C@@H](O)[C@@]1([H])C2(C)C)(C)[C@@]4(C)[C@@]3([H])[C@]([C@](CCC5)(C)OC5(C)C)([H])CC4
609,CN1C2=CC=CC=C2[C@@]34[C@]1([H])[C@@](C[C@H]5[C@H](CC)[C@H]6O)([H])[N@]6[C@]([H])([C@H]5[C@H]4O)C3
610,O[C@H](C1)[C@@]([C@@](C)(O)C(/C=C/C(OC(C)=O)(C)C)=O)([H])[C@](C2)(C)[C@]1(C)[C@]3([H])CC=C4C(C)(C)C(C(O)=C[C@@]4([H])[C@]3(C)C2=O)=O
611,C[C@@H](CC)[C@]1([H])[C@@H](C)C=C[C@@]2(O[C@@]3([H])C[C@]([H])(OC([C@@]4([H])[C@@](/C(CO5)=C/C=C/[C@H](C)[C@H](O[C@@]6([H])C[C@H](OC)[C@@H](O[C@]7([H])O[C@@H](C)[C@H](O)[C@@H](OC)C7)[C@H](C)O6)/C(C)=C/C3)(O)[C@@]5([H])[C@H](O)C(C)=C4)=O)C2)O1.C[C@H]8C=C[C@@]9(O[C@@]%10([H])C[C@]([H])(OC([C@@]%11([H])[C@@](/C(CO%12)=C/C=C/[C@H](C)[C@H](O[C@@]%13([H])C[C@H](OC)[C@@H](O[C@]%14([H])O[C@@H](C)[C@H](O)[C@@H](OC)C%14)[C@H](C)O%13)/C(C)=C/C%10)(O)[C@@]%12([H])[C@H](O)C(C)=C%11)=O)C9)O[C@@H]8C(C)C
612,O=C(O)[C@H](OC(/C=C/C1=CC=C(O)C(O)=C1)=O)[C@@H](OC(/C=C/C2=CC=C(O)C(O)=C2)=O)C(O)=O
613,C=C(C)[C@@H]1CC[C@]2(C=O)CC[C@@]3(C)[C@]4(C)CC[C@@]5([H])C(C)(C)[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3([H])[C@]21[H]
614,C[C@]([C@@](C[C@H]1O)([H])[C@]2(CC[C@@H]3O)C)(CC[C@@]2([H])C3(C)C)[C@]4([C@@]1([H])[C@]([C@@](C)(O)CC/C=C(C)/C)([H])CC4)C
615,O=C1C(C2=CC=CC=C2)=COC3=CC(OC(C)C)=CC=C13
616,O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](OC([C@@]2(C)[C@](CC[C@]3(CC4=C)[C@@]5([H])CC[C@]4(O[C@]6([H])O[C@H](CO)[C@@H](O)[C@H](O[C@]7([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@]8([H])[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O8)C3)([H])[C@@]5(C)CCC2)=O)[C@@H]1O
617,CCCCCCCC/N=C1C=CN(CCCCCCCCCCN(C=C/2)C=CC2=N/CCCCCCCC)C=C/1.Cl.Cl
618,FC(F)(F)OC(C=C1)=CC=C1CO[C@@H]2COC3=NC([N+]([O-])=O)=CN3C2
619,O[C@H](C1)[C@@]([C@@](C)(O)C(/C=C/C(OC(C)=O)(C)C)=O)([H])[C@](C2)(C)[C@]1(C)[C@]3([H])CC=C4C(C)(C)C([C@@H](O)C[C@@]4([H])[C@]3(C)C2=O)=O
620,CC1=C([C@@H](O)C([C@@]2(C)[C@@]3([H])[C@@](CO4)(OC(C)=O)[C@@]4([H])C[C@@H]2O)=O)C(C)(C)[C@@]([C@H]3OC(C5=CC=CC=C5)=O)(O)C[C@@H]1O
621,O[C@@H]([C@](C(N[C@H](C(N(CC(N([C@H](C(N[C@@](C(N([C@H]1CC(C)C)C)=O)([H])C(C)C)=O)CC(C)C)C)=O)C)=O)CC)=O)([H])N(C([C@](N(C([C@@H](N(C([C@H](N(C([C@H](NC([C@@H](NC1=O)C)=O)C)=O)C)CC(C)C)=O)C)CC(C)C)=O)C)([H])C(C)C)=O)C)[C@H](C)C/C=C/C
622,O=C(O)CCNC(C1=CC=CC=C1)=O
623,C[C@@]1(C2=O)C[C@]([H])(O2)[C@]3(C)CC[C@@]4(C)[C@]5(C)CC[C@@]6([H])C(C)(C)[C@@H](O)CC[C@]6(C)[C@@]5([H])CC=C4[C@]3([H])C1
624,C[C@H](CCC(O)=O)[C@@]1([H])CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@@]21C
625,O=C1C2=C(C=CC=C2O)[C@H]([C@]3([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C4=CC(CO)=CC(O)=C14
626,ClC1=CC=C(C(OC2=C([N+]([O-])=O)C=CC(S(C3=CC=CC=C3)(=O)=O)=C2)=O)C=C1
627,O=C(O)[C@@H](N)CC[Se]C
628,C[C@@H]([C@@H]([C@@](C)(C[C@H]1OC(CSC(C)(C)CNC([C@H](N)C(C)C)=O)=O)C=C)O)C(CCC2=O)(CC[C@H]3C)[C@]2([H])C31C.Cl
629,O=C(OC(OC(C1=CC=CC=C12)=C(C(NC3=NC=CC=C3)=O)N(C)S2(=O)=O)C)OCC
630,O=C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O
631,CC(/C=C/C(C(C)=CC(OC)=C1C)=C1C)=C\C=C\C(C)=C\C(O)=O
632,CC1(C)C(/C=C/C(C)=C/C=C/C(C)=C\C(O)=O)=C(C)CCC1
633,OC1=C(OC)C=CC([C@@H]2CC(C3=C(C=C(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)C=C3O)O2)=O)=C1
634,O=C1C=C[C@@]2(C)C(CC[C@]3([H])[C@]2(F)[C@@H](O)C[C@@]4(C)[C@@]3([H])C[C@@H](C)[C@@]4(C(CO)=O)O)=C1
635,[O-]C(C(CCC)CCC)=O.[Na+]
636,C[C@H]1[C@H](O)[C@](C)(OC)C[C@]([H])(O[C@@H]([C@H](C)[C@@H](O[C@@]2([H])[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@](C)(O)C[C@@H](C)CN[C@H](C)[C@@H](O)[C@@](O)(C)[C@@H](CC)O3)[C@@H](C)C3=O)O1
637,ClC1=C(C=CC(Cl)=C1)[C@@]2(O[C@@H](COC3=CC=C(N4CCN(C5=CC=C(N(C=NN6C(C)CC)C6=O)C=C5)CC4)C=C3)CO2)CN7C=NC=N7
638,OC1=CC2=C([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3(CC2)[H])[H])O)C)[H])C=C1OC
639,ClC1=CC=C(NC(O[C@]2(C#CC3CC3)C(F)(F)F)=O)C2=C1
640,CC(SC1=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C1)(SC2=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C2)C
641,OC[C@@H]1[C@H]([C@H]([C@H](N2C(NC(C=C2)=O)=O)O1)O)O
642,OC(CCCCCCCC(O)=O)=O
643,O[C@]([C@@](CC[C@@]1([H])[C@@]2(CC[C@H](O[C@@](O[C@H](C)[C@H]3O[C@@](O[C@H](C)[C@H]4O[C@@](O[C@H](C)[C@H]5O[C@]([C@@H]([C@@H](O)[C@@H]6O)O)([H])O[C@@H]6CO)([H])C[C@@H]5OC(C)=O)([H])C[C@@H]4O)([H])C[C@@H]3O)C1)C)([H])[C@]2([H])C[C@H]7O)(CC[C@@H]8C(CO9)=CC9=O)[C@]78C
644,COC1=C(OC2=CC([C@]3([H])CC(C=C4)=CC=C4O5)=C(CCN3C)C=C2OC)C([C@@]6([H])CC7=CC=C(O)C5=C7)=C(CCN6C)C=C1OC.Cl.Cl
645,O=C(OC(C)C)/C(C(OC(C)C)=O)=C1SC=CS\1
646,OC1=CC=C(CC=C)C=C1C2=CC(CC=C)=CC=C2O
647,O=S(C1=CC=C(N)C=C1)(NC2=NN=C(C)S2)=O
648,CC[C@H](C)C(O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(O3)=O)[C@@]12[H])=O
649,C[C@]([C@]1([H])CC2)(CCC[C@@]1(C)C(O)=O)[C@@]3([H])[C@@]2(CC4=O)C[C@]4(C)CC3
650,O=C1C(O)=C(C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC=C13
651,C[C@@H]([C@@H]([C@H](C(O[C@@H]1CC)=O)C)O[C@@](O[C@@H](C)[C@@H]2O)([H])C[C@@]2(C)OC)[C@H]([C@](O)(C[C@H](C([C@@H]([C@@H](O)[C@@]1(O)C)C)=O)C)C)O[C@@](O[C@H](C)C[C@@H]3N(C)C)([H])[C@@H]3O
652,O=C(C(C1=CC=C(O)C=C1)=COC2=CC(O[C@@H]([C@@H]([C@@H](O)[C@@H]3O)O)O[C@@H]3CO)=C4)C2=C4O
653,C12=NC=NC(NCC3=CC=CC=C3)=C1NC=N2
654,O=C1C[C@@H](C2=CC=C(O)C=C2)OC3=CC(O)=CC(O)=C13
655,O=C1C=C(C2=CC=CC=C2)OC3=C(OC)C(O)=CC(O)=C13
656,O=C(O)CNC(C1=CC=C(N)C=C1)=O
657,OC1=C2C(OC(C3=CC=CC=C3)=CC2=O)=CC(O)=C1
658,CC1=CC(OC(C)=O)=C2C=CC=CC2=C1OC(C)=O
659,O=S(C1=CC=CC=C1N)(N)=O
660,O=S(C1=CC=C(N)C=C1)(NC2=NC(C)=NC(C)=C2)=O
661,OC/C(C)=C/CNC1=C2N=CNC2=NC=N1
662,C[C@@]1(O2)O/C=C/[C@@H]([C@H]([C@H]([C@H](C)[C@H](O)[C@H](C)[C@H]([C@H](/C=C/C=C(C(NC(C3=O)=C4NC5(CCN(CC(C)C)CC5)N=C4C6=C3C(O)=C(C)C2=C6C1=O)=O)\C)C)O)OC(C)=O)C)OC
663,O=C(C1=C[N+]([O-])=CC=C1)N
664,O=C(C(C=CC=1)=CN1=O)O
665,OC1=CC2=C(NC=C2CCN)C=C1.[H]Cl
666,N[C@@H](CCCNC(N)=N)C(O)=O.[H]Cl
667,C[C@H](CCC(O)=O)[C@H]([C@]12C)CC[C@@]1([H])[C@]3([H])C(C[C@]4([H])CC(CC[C@]4(C)[C@@]3([H])CC2=O)=O)=O
668,NC(C[C@H]1[C@@]2([H])[C@]3(C)[N]4=C([C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)C(C)=C([C@](CC(N)=O)(C)[C@@H]5CCC(N)=O)[N]6=C5C=C(C(C)(C)[C@@H]7CCC(N)=O)[N]8=C7C(C)=C([C@@]1(CCC(NC[C@@H](C)O9)=O)C)[N-]2[Co+3]486([CH3-])[N](C%10=CC(C)=C(C)C=C%11%10)=CN%11[C@@H](O[C@@H]%12CO)[C@@](O)([H])[C@@H]%12OP9([O-])=O)=O
669,O[C@H](C1)[C@@H]([C@H](C1=O)CCCCCCC(OC)=O)/C=C/CC(C)(O)CCCC
670,CC(C)(O/N=C(C1=CSC(N)=N1)\C(N[C@H]2[C@H](C)N(S(=O)(O)=O)C2=O)=O)C(O)=O
671,S=C(C1=CC(CC)=NC=C1)N
672,O=C(C1=CC=C2C=C(OC)C=CC2=C1)O
673,O=C1OC(C(C=C1)=C2)=C(O)C3=C2C=CO3
674,O=C1C2=CC(O)=CC=C2C3=CC=C(O)C=C3O1
675,OCC1=CC=CC=C1O
676,NCCCS(=O)(O)=O
677,O=C(C1=CN(CC2=C(F)C=CC=C2F)N=N1)N
678,OC(CC1=CNC2=C1C=CC=C2)=O
679,O=C(C(C1=O)=C(O)[C@@H](N(C)C)[C@]2([H])[C@@H](O)[C@]3([H])[C@](C)(O)C4=C(C(C3=C(O)[C@@]21O)=O)C(O)=CC=C4)N
680,O=C1C=C(C2=CC=C(OC)C(OC)=C2)OC3=C(OC)C(OC)=C(OC)C(OC)=C13
681,O=C1C2=C(C=CC=C2O)CC3=CC=CC(O)=C13
682,O=C(OCC)C1=CC=C(O)C=C1
